Pre-Weight Change,,,,Post-Weight Change
Input Number,Real,Predicted,Error,Input Number,Real,Predicted,Error
565,-858993460,24516.6,-2822.62,566,-858993460,24516.6,-2822.62,
567,-858993460,111046,333648,568,-858993460,111046,333648,
569,-858993460,44706.8,27387.2,570,-858993460,44706.8,27387.2,
571,0,36919.1,12251.9,572,0,36919.1,12251.9,
573,0,14133.1,-6911.11,574,0,14133.1,-6911.11,
575,0,94316.9,226489,576,0,94316.9,226489,
577,0,100374,262957,578,0,100374,262957,
579,-858993460,162098,785453,580,-858993460,162098,785453,
581,-858993460,8076.06,-5705.06,582,-858993460,8076.06,-5705.06,
583,-858993460,44129.9,26116.1,584,-858993460,44129.9,26116.1,
585,-858993460,76722.6,135564,586,-858993460,76722.6,135564,
587,477636960,29708.4,2137.63,588,406,29708.4,2137.63,
589,0,107008,305934,590,0,107008,305934,
591,0,182000,1.0125e+06,592,0,182000,1.0125e+06,
593,0,27689.4,-22.3538,594,0,27689.4,-22.3538,
595,-858993460,100085,261161,596,-858993460,100085,261161,
597,-858993460,4038.03,-3431.03,598,-858993460,4038.03,-3431.03,
599,-858993460,179981,988166,600,-858993460,179981,988166,
601,-858993460,191518,1.13119e+06,602,-858993460,191518,1.13119e+06,
603,0,183730,1.0336e+06,604,1082386432,183730,1.0336e+06,
605,0,198729,1.22545e+06,606,1082492928,198729,1.22545e+06,
607,0,68646.5,101304,608,0,68646.5,101304,
609,-859045887,19036.4,-5949.43,610,-858993460,19036.4,-5949.43,
611,0,165271,819735,612,0,165271,819735,
613,-858993460,20478.6,-5336.58,614,-858993460,20478.6,-5336.58,
615,-858993460,200171,1.24476e+06,616,-858993460,200171,1.24476e+06,
617,-858993460,127486,458625,618,-858993460,127486,458625,
619,477640080,137293,542454,620,406,137293,542454,
621,477651184,138447,552772,622,406,138447,552772,
623,477651344,167578,845124,624,406,167578,845124,
625,477651344,161521,779298,626,406,161521,779298,
627,-858993460,74703.6,126558,628,-858993460,74703.6,126558,
629,-858993460,16729,-6617.98,630,-858993460,16729,-6617.98,
631,-858993460,139889,565805,632,-858993460,139889,565805,
633,-858993460,86529.2,183490,634,4,86529.2,183490,
635,-858993460,133255,507096,636,-858993460,133255,507096,
637,-858993460,44418.3,26748.7,638,-858993460,44418.3,26748.7,
639,-858993460,53359.7,49334.3,640,-858993460,53359.7,49334.3,
641,-858993460,134120,514574,642,-858993460,134120,514574,
643,477637840,135562,527157,644,406,135562,527157,
645,477651408,204497,1.30356e+06,646,406,204497,1.30356e+06,
647,477651568,64608.5,85938.5,648,406,64608.5,85938.5,
649,477651568,208535,1.35967e+06,650,406,208535,1.35967e+06,
651,-858993460,122583,419311,652,-858993460,122583,419311,
653,-858993460,79895.3,150311,654,-858993460,79895.3,150311,
655,-858993460,43553,24869,656,-858993460,43553,24869,
657,-858993460,201325,1.26031e+06,658,4,201325,1.26031e+06,
659,-858993460,176231,943751,660,-858993460,176231,943751,
661,-858993460,59993.6,69817.4,662,-858993460,59993.6,69817.4,
663,-858993460,68358.1,100168,664,-858993460,68358.1,100168,
665,-858993460,162387,788539,666,-858993460,162387,788539,
667,477638080,117968,383894,668,406,117968,383894,
669,477651632,136428,534778,670,406,136428,534778,
671,477651792,216323,1.4712e+06,672,406,216323,1.4712e+06,
673,477651792,184884,1.04778e+06,674,406,184884,1.04778e+06,
675,-858993460,55090.3,54371.7,676,-858993460,55090.3,54371.7,
677,-858993460,182000,1.0125e+06,678,-858993460,182000,1.0125e+06,
679,-858993460,79030,146217,680,-858993460,79030,146217,
681,-858993460,190941,1.12381e+06,682,4,190941,1.12381e+06,
683,-858993460,192960,1.14974e+06,684,-858993460,192960,1.14974e+06,
685,-858993460,160944,773167,686,-858993460,160944,773167,
687,-858993460,167001,838741,688,-858993460,167001,838741,
689,-858993460,72684.6,117846,690,-858993460,72684.6,117846,
691,712053785,117391,379575,692,1090300149,117391,379575,
693,-143633527,91144.1,208443,694,1089880193,91144.1,208443,
695,4,182865,1.02302e+06,696,0,182865,1.02302e+06,
697,-859045632,9229.78,-6138.78,698,-858993460,9229.78,-6138.78,
699,0,117968,383894,700,1072693248,117968,383894,
701,-858993460,59416.7,67910.3,702,-858993460,59416.7,67910.3,
703,-858993460,139889,565805,704,-858993460,139889,565805,
705,-858993460,44706.8,27387.2,706,-858993460,44706.8,27387.2,
707,477637200,201036,1.25641e+06,708,406,201036,1.25641e+06,
709,477656016,120276,401410,710,406,120276,401410,
711,477656176,139024,557967,712,406,139024,557967,
713,477656176,50187,40660,714,406,50187,40660,
715,-858993460,19901.7,-5599.72,716,-858993460,19901.7,-5599.72,
717,-858993460,42687.8,23043.2,718,-858993460,42687.8,23043.2,
719,-858993460,76145.7,132961,720,-858993460,76145.7,132961,
721,-858993460,13267.8,-6900.82,722,4,13267.8,-6900.82,
723,-858993460,48744.8,36957.2,724,-858993460,48744.8,36957.2,
725,-858993460,187192,1.07643e+06,726,-858993460,187192,1.07643e+06,
727,-858993460,169886,870896,728,-858993460,169886,870896,
729,-858993460,66050.6,91291.4,730,-858993460,66050.6,91291.4,
731,477636400,77299.4,138192,732,406,77299.4,138192,
733,477661600,156329,724982,734,406,156329,724982,
735,477662240,129217,472914,736,406,129217,472914,
737,477662360,44129.9,26116.1,738,406,44129.9,26116.1,
739,-858993460,27112.5,-585.492,740,-858993460,27112.5,-585.492,
741,-858993460,146234,624932,742,-858993460,146234,624932,
743,-858993460,192383,1.1423e+06,744,-858993460,192383,1.1423e+06,
745,-858993460,83644.9,168674,746,4,83644.9,168674,
747,-858993460,40668.7,18993.3,748,-858993460,40668.7,18993.3,
749,-858993460,53648.1,50158.9,750,-858993460,53648.1,50158.9,
751,-858993460,12979.4,-6885.38,752,-858993460,12979.4,-6885.38,
753,-858993460,162098,785453,754,4,162098,785453,
755,-858993460,113642,352085,756,-858993460,113642,352085,
757,-858993460,198152,1.21777e+06,758,-858993460,198152,1.21777e+06,
759,-858993460,119987,399200,760,-858993460,119987,399200,
761,-858993460,87394.5,188051,762,-858993460,87394.5,188051,
763,477639920,63166.3,80735.7,764,406,63166.3,80735.7,
765,477662432,130082,480140,766,406,130082,480140,
767,477663072,71530.8,113000,768,406,71530.8,113000,
769,477663192,78741.6,144864,770,406,78741.6,144864,
771,-858993460,36053.8,10840.2,772,-858993460,36053.8,10840.2,
773,-858993460,87683,189584,774,-858993460,87683,189584,
775,-858993460,59993.6,69817.4,776,-858993460,59993.6,69817.4,
777,-858993460,66050.6,91291.4,778,4,66050.6,91291.4,
779,-858993460,64031.6,83839.4,780,-858993460,64031.6,83839.4,
781,-858993460,19036.4,-5949.43,782,-858993460,19036.4,-5949.43,
783,-858993460,172482,900349,784,-858993460,172482,900349,
785,-858993460,80183.8,151687,786,4,80183.8,151687,
787,-858993460,87683,189584,788,-858993460,87683,189584,
789,-858993460,16440.6,-6674.55,790,-858993460,16440.6,-6674.55,
791,-858993460,101528,270203,792,-858993460,101528,270203,
793,-858993460,67204.4,95681.6,794,-858993460,67204.4,95681.6,
795,477639600,130371,482560,796,406,130371,482560,
797,477656240,82491.2,162916,798,406,82491.2,162916,
799,477656400,170751,880660,800,406,170751,880660,
801,477656400,1730.58,-1603.58,802,406,1730.58,-1603.58,
803,-858993460,138158,550184,804,-858993460,138158,550184,
805,-858993460,152868,689851,806,-858993460,152868,689851,
807,-858993460,181423,1.00552e+06,808,-858993460,181423,1.00552e+06,
809,-858993460,62877.9,79713.1,810,4,62877.9,79713.1,
811,-858993460,175077,930289,812,-858993460,175077,930289,
813,-858993460,180558,995089,814,-858993460,180558,995089,
815,-858993460,103547,283115,816,-858993460,103547,283115,
817,-858993460,100085,261161,818,-858993460,100085,261161,
819,944756656,17305.8,-6486.85,820,6,17305.8,-6486.85,
821,-858993460,74992,127827,822,-858993460,74992,127827,
823,-858993460,32881.1,6125.89,824,-858993460,32881.1,6125.89,
825,-858993460,207382,1.34352e+06,826,-858993460,207382,1.34352e+06,
827,944758656,104124,286858,828,6,104124,286858,
829,-858993460,21632.3,-4738.31,830,-858993460,21632.3,-4738.31,
831,-858993460,107585,309821,832,-858993460,107585,309821,
833,-858993460,62877.9,79713.1,834,-858993460,62877.9,79713.1,
835,944758656,179692,984714,836,6,179692,984714,
837,-858993460,171905,893762,838,-858993460,171905,893762,
839,-858993460,20478.6,-5336.58,840,-858993460,20478.6,-5336.58,
841,-858993460,187480,1.08004e+06,842,721,187480,1.08004e+06,
843,-858993460,11248.8,-6666.8,844,-858993460,11248.8,-6666.8,
845,-858993460,187768,1.08365e+06,846,-858993460,187768,1.08365e+06,
847,-858993460,123160,423846,848,-858993460,123160,423846,
849,-858993460,96047.4,236639,850,3,96047.4,236639,
851,-858993460,194691,1.1722e+06,852,-858993460,194691,1.1722e+06,
853,-858993460,23651.3,-3460.32,854,-858993460,23651.3,-3460.32,
855,-858993460,137293,542454,856,-858993460,137293,542454,
857,-858993460,131524,492303,858,-858993460,131524,492303,
859,477637280,146811,630451,860,406,146811,630451,
861,477660576,51629.1,44512.9,862,406,51629.1,44512.9,
863,477661368,179116,977826,864,406,179116,977826,
865,477661368,288.431,-266.431,866,406,288.431,-266.431,
867,-858993460,199306,1.23316e+06,868,-858993460,199306,1.23316e+06,
869,-858993460,96912.7,241794,870,-858993460,96912.7,241794,
871,-858993460,162675,791632,872,-858993460,162675,791632,
873,-858993460,188057,1.08727e+06,874,3,188057,1.08727e+06,
875,-858993460,162387,788539,876,-858993460,162387,788539,
877,-858993460,165559,822888,878,-858993460,165559,822888,
879,-858993460,1442.15,-1348.15,880,-858993460,1442.15,-1348.15,
881,-858993460,51629.1,44512.9,882,-858993460,51629.1,44512.9,
883,0,9229.78,-6138.78,884,0,9229.78,-6138.78,
885,477617152,71819.3,114203,886,406,71819.3,114203,
887,-858993460,199594,1.23702e+06,888,-858993460,199594,1.23702e+06,
889,0,1442.15,-1348.15,890,0,1442.15,-1348.15,
891,15,26247.2,-1385.2,892,0,26247.2,-1385.2,
893,-858993460,184596,1.04422e+06,894,-858993460,184596,1.04422e+06,
895,-858993460,191806,1.13489e+06,896,-858993460,191806,1.13489e+06,
897,-858993460,156329,724982,898,2,156329,724982,
899,-858993460,113065,347946,900,-858993460,113065,347946,
901,-858993460,21920.7,-4573.74,902,-858993460,21920.7,-4573.74,
903,-858993460,76434.2,134260,904,-858993460,76434.2,134260,
905,-858993460,123737,428405,906,452,123737,428405,
907,-858993460,89702,200480,908,-858993460,89702,200480,
909,-858993460,130948,487419,910,-858993460,130948,487419,
911,-858993460,91432.6,210053,912,-858993460,91432.6,210053,
913,-858993460,143062,595005,914,-858993460,143062,595005,
915,944756656,5480.18,-4378.18,916,6,5480.18,-4378.18,
917,-858993460,207382,1.34352e+06,918,-858993460,207382,1.34352e+06,
919,-858993460,81625.9,158660,920,-858993460,81625.9,158660,
921,-858993460,171616,890478,922,-858993460,171616,890478,
923,944758500,135274,524628,924,6,135274,524628,
925,-858993460,189499,1.10547e+06,926,-858993460,189499,1.10547e+06,
927,-858993460,171039,883927,928,-858993460,171039,883927,
929,-858993460,166713,835558,930,-858993460,166713,835558,
931,944758656,15286.8,-6840.83,932,6,15286.8,-6840.83,
933,-858993460,110469,329617,934,-858993460,110469,329617,
935,-858993460,111623,337703,936,-858993460,111623,337703,
937,-858993460,193537,1.1572e+06,938,671,193537,1.1572e+06,
939,-858993460,39226.6,16280.4,940,-858993460,39226.6,16280.4,
